(-2035, 646, -5243)
(-1990, 650, -5350)
(-1932, 631, -5253)
(-1855, -521, -5265)
(-1822, -505, -5189)
(-1801, -493, -5091)
(-1736, 924, -4248)
(-1732, 613, -6757)
(-1658, -392, -4345)
(-1631, -406, -4381)
(-1626, 590, -6713)
(-1607, -691, -6748)
(-1585, 883, -4218)
(-1564, -439, -4241)
(-1555, -630, -6712)
(-1505, -610, -6754)
(-1498, 929, -4268)
(-1491, 607, -6740)
(-1218, 20, -4664)
(-1178, -52, -5957)
(-1064, 89, -4782)
(-849, -1625, -3024)
(-837, 2947, -1938)
(-836, -4184, -1871)
(-824, 3058, -4044)
(-823, -1594, -2994)
(-816, -544, -567)
(-805, -4072, -1751)
(-798, 1966, -3028)
(-795, 560, -2867)
(-793, 5525, -4213)
(-783, 886, -4004)
(-782, 798, -3922)
(-777, 1943, -2905)
(-767, 673, -2895)
(-762, -635, -608)
(-759, 5483, -4053)
(-758, 5490, -4213)
(-757, -361, -1648)
(-756, 915, -4047)
(-751, -3212, -4128)
(-751, 2955, -4162)
(-750, -3165, -4046)
(-745, -1599, -2961)
(-736, 758, -6570)
(-730, 2012, -3063)
(-725, 2935, -1816)
(-722, -4127, -1745)
(-715, 621, -2997)
(-709, -3220, -4228)
(-694, -288, -1662)
(-688, 4318, -5165)
(-685, -537, -490)
(-678, 2919, -4038)
(-652, 3015, -1935)
(-627, 3199, -5030)
(-618, 4418, -5139)
(-608, -399, -1703)
(-607, 1893, -4111)
(-601, 3236, -5204)
(-593, 782, -5422)
(-586, -4392, -2834)
(-585, 829, -5380)
(-584, 370, -1492)
(-570, 732, -6662)
(-566, -2921, -2684)
(-566, 371, -1540)
(-550, -1786, -3885)
(-541, -4296, -2789)
(-540, 492, 683)
(-522, 2057, -4154)
(-517, 706, -6547)
(-509, -702, -3865)
(-508, -739, -6538)
(-507, 2023, -4145)
(-506, 516, 563)
(-504, 4386, -5171)
(-493, 420, -1607)
(-487, -2905, -1468)
(-485, -2931, -2891)
(-485, 3952, -4002)
(-482, 866, -5424)
(-474, 3225, -5084)
(-472, -578, -6630)
(-467, 4129, -3954)
(-461, -2911, -2682)
(-458, -2868, -1613)
(-455, 3072, -2844)
(-454, 4311, -3071)
(-453, -732, -6748)
(-453, 3241, -2805)
(-443, 4467, -2985)
(-437, -483, -2899)
(-435, -718, 795)
(-433, -635, -2879)
(-427, 366, -518)
(-426, -1709, -3929)
(-424, 3086, -2886)
(-420, -1891, -3928)
(-419, 574, 648)
(-409, 412, -368)
(-408, -4416, -2825)
(-397, -1484, -1670)
(-385, -481, -5619)
(-370, -634, -3850)
(-363, -696, 767)
(-357, 4346, -2972)
(-355, 1666, -1852)
(-348, -1461, -1817)
(-344, -518, -2898)
(-342, -819, 826)
(-331, 1709, -1766)
(-324, 4069, -3992)
(-313, 5467, -5253)
(-311, 1617, -1903)
(-308, -661, -3904)
(-305, -1564, -1693)
(-298, -586, -5535)
(-298, 5590, -5219)
(-295, 471, -487)
(-292, -658, -5600)
(-283, -2891, -1529)
(-260, 5473, -5328)
(-51, 1287, -3585)
(-38, -28, -4635)
(-35, 2413, -3568)
(-21, 130, -1210)
(-19, -2280, -2239)
(-18, -2388, -3610)
(-12, 2518, -2250)
(1, 3601, -4678)
(1, 3629, -3533)
(14, -1234, -3511)
(33, 119, 14)
(38, -3562, -2234)
(59, 4819, -4709)
(63, -8, -1082)
(65, -2316, -3447)
(83, 1181, -3473)
(87, -2427, -2325)
(94, 105, -4766)
(100, 89, -2296)
(101, -23, -5910)
(108, 2, -3508)
(117, -3625, -2419)
(127, 2502, -3486)
(128, -27, 104)
(128, 2436, -2372)
(133, 3737, -3607)
(352, -625, -3167)
(354, 4251, -2896)
(355, 561, -7634)
(366, 449, -7653)
(371, -698, -3116)
(374, 5632, -4244)
(386, 794, -527)
(389, -577, -3200)
(391, 495, -7442)
