(-2035, 646, -5243)
(-1990, 650, -5350)
(-1932, 631, -5253)
(-1907, -714, -930)
(-1881, -724, -936)
(-1876, -777, -868)
(-1855, -521, -5265)
(-1822, -505, -5189)
(-1801, -493, -5091)
(-1792, 295, -776)
(-1765, -1701, 620)
(-1765, -1719, 683)
(-1755, -1762, 519)
(-1742, 689, 450)
(-1736, 924, -4248)
(-1732, 613, -6757)
(-1722, -1649, -484)
(-1706, 319, -819)
(-1658, -392, -4345)
(-1655, 275, -868)
(-1641, -1707, -462)
(-1631, -406, -4381)
(-1626, 590, -6713)
(-1623, 616, 530)
(-1620, -718, 710)
(-1620, 801, 462)
(-1607, -691, -6748)
(-1589, -1722, -564)
(-1585, 883, -4218)
(-1564, -439, -4241)
(-1556, -857, 641)
(-1555, -630, -6712)
(-1552, -743, 732)
(-1505, -610, -6754)
(-1498, 929, -4268)
(-1491, 607, -6740)
(-1333, -1185, -4)
(-1308, -24, 33)
(-1295, -1316, -136)
(-1218, 20, -4664)
(-1186, -164, -49)
(-1178, -52, -5957)
(-1064, 89, -4782)
(-868, -562, 313)
(-849, -1625, -3024)
(-846, -483, 346)
(-836, -678, 436)
(-836, -4184, -1871)
(-823, -1594, -2994)
(-816, -544, -567)
(-805, -4072, -1751)
(-795, 560, -2867)
(-783, 886, -4004)
(-782, 798, -3922)
(-767, 673, -2895)
(-762, -635, -608)
(-757, -361, -1648)
(-756, 915, -4047)
(-753, 417, 756)
(-751, -3212, -4128)
(-750, -3165, -4046)
(-749, -1903, 350)
(-745, -1599, -2961)
(-736, 758, -6570)
(-733, -1795, 435)
(-722, -4127, -1745)
(-715, 621, -2997)
(-714, 419, 587)
(-709, -3220, -4228)
(-705, -739, -768)
(-694, -288, -1662)
(-685, -537, -490)
(-677, -626, -740)
(-672, 388, 601)
(-667, 644, -750)
(-662, -390, 1766)
(-653, 741, -542)
(-616, -611, 662)
(-615, -633, 1757)
(-608, -399, -1703)
(-593, 782, -5422)
(-586, 321, 1861)
(-586, -4392, -2834)
(-585, 829, -5380)
(-584, 370, -1492)
(-575, -678, -688)
(-573, 407, 1982)
(-570, -496, 1843)
(-570, 732, -6662)
(-566, 371, -1540)
(-566, -2921, -2684)
(-563, -1837, 376)
(-550, -1786, -3885)
(-545, -671, 823)
(-544, 667, -771)
(-541, -4296, -2789)
(-540, 492, 683)
(-530, 762, -519)
(-523, 526, 611)
(-520, -520, 711)
(-517, 706, -6547)
(-515, -1814, -758)
(-509, 713, -703)
(-509, -620, -660)
(-509, -702, -3865)
(-508, -739, -6538)
(-506, 516, 563)
(-495, 694, -473)
(-493, 420, -1607)
(-487, -2905, -1468)
(-487, 418, 1826)
(-485, -2931, -2891)
(-482, 866, -5424)
(-477, -1850, -770)
(-472, -578, -6630)
(-461, -2911, -2682)
(-458, -2868, -1613)
(-453, -732, -6748)
(-437, -483, -2899)
(-435, -718, 795)
(-433, -635, -2879)
(-428, -1952, -809)
(-427, 366, -518)
(-427, 531, 528)
(-426, -1709, -3929)
(-420, -1891, -3928)
(-419, 574, 648)
(-413, -537, -655)
(-409, 412, -368)
(-408, -4416, -2825)
(-397, -1484, -1670)
(-391, 495, 669)
(-385, -481, -5619)
(-377, -678, -691)
(-370, -634, -3850)
(-363, -696, 767)
(-348, -1461, -1817)
(-344, -518, -2898)
(-342, -819, 826)
(-308, -661, -3904)
(-305, -1564, -1693)
(-298, -586, -5535)
(-295, 471, -487)
(-292, -658, -5600)
(-283, -2891, -1529)
(-99, -118, 110)
(-72, -163, 17)
(-38, -28, -4635)
(-25, -37, 1144)
(-21, 130, -1210)
(-19, -2280, -2239)
(-18, -2388, -3610)
(10, -1, -72)
(13, -12, -24)
(14, -1234, -3511)
(33, 119, 14)
(38, -3562, -2234)
(49, -169, 1252)
(63, -8, -1082)
(65, -2316, -3447)
(87, -2427, -2325)
(94, 105, -4766)
